Entity,Country,DeathRate
Infectious and parasitic diseases,Australia,10.61
Infectious and parasitic diseases,Canada,15.15
Infectious and parasitic diseases,China,9.18
Infectious and parasitic diseases,South Korea,49.67
Infectious and parasitic diseases,France,15.40
Infectious and parasitic diseases,Germany,22.31
Infectious and parasitic diseases,India,90.57
Infectious and parasitic diseases,Indonesia,97.62
Infectious and parasitic diseases,Japan,16.96
Infectious and parasitic diseases,Malaysia,35.04
Infectious and parasitic diseases,Philippines,53.94
Infectious and parasitic diseases,Singapore,4.92
Infectious and parasitic diseases,Thailand,52.02
Infectious and parasitic diseases,UK,10.10
Infectious and parasitic diseases,US,17.47
Infectious and parasitic diseases,Viet Nam,33.89
Respiratory Infections ,Australia,16.20
Respiratory Infections ,Canada,19.55
Respiratory Infections ,China,12.58
Respiratory Infections ,South Korea,18.95
Respiratory Infections ,France,27.66
Respiratory Infections ,Germany,28.45
Respiratory Infections ,India,46.61
Respiratory Infections ,Indonesia,19.24
Respiratory Infections ,Japan,110.74
Respiratory Infections ,Malaysia,44.62
Respiratory Infections ,Philippines,73.51
Respiratory Infections ,Singapore,109.10
Respiratory Infections ,Thailand,64.72
Respiratory Infections ,UK,57.07
Respiratory Infections ,US,20.62
Respiratory Infections ,Viet Nam,17.52
Maternal conditions,Australia,0.08
Maternal conditions,Canada,0.07
Maternal conditions,China,0.31
Maternal conditions,South Korea,1.09
Maternal conditions,France,0.09
Maternal conditions,Germany,0.07
Maternal conditions,India,3.08
Maternal conditions,Indonesia,3.56
Maternal conditions,Japan,0.04
Maternal conditions,Malaysia,0.62
Maternal conditions,Philippines,2.78
Maternal conditions,Singapore,0.08
Maternal conditions,Thailand,0.24
Maternal conditions,UK,0.11
Maternal conditions,US,0.18
Maternal conditions,Viet Nam,0.93
Neonatal conditions,Australia,2.16
Neonatal conditions,Canada,2.86
Neonatal conditions,China,4.59
Neonatal conditions,South Korea,11.93
Neonatal conditions,France,2.36
Neonatal conditions,Germany,1.63
Neonatal conditions,India,41.52
Neonatal conditions,Indonesia,20.44
Neonatal conditions,Japan,0.45
Neonatal conditions,Malaysia,5.83
Neonatal conditions,Philippines,23.93
Neonatal conditions,Singapore,0.82
Neonatal conditions,Thailand,5.38
Neonatal conditions,UK,2.50
Neonatal conditions,US,3.63
Neonatal conditions,Viet Nam,13.89
Nutritional deficiencies,Australia,1.24
Nutritional deficiencies,Canada,1.69
Nutritional deficiencies,China,1.11
Nutritional deficiencies,South Korea,1.51
Nutritional deficiencies,France,6.52
Nutritional deficiencies,Germany,1.64
Nutritional deficiencies,India,6.26
Nutritional deficiencies,Indonesia,7.07
Nutritional deficiencies,Japan,2.48
Nutritional deficiencies,Malaysia,0.30
Nutritional deficiencies,Philippines,7.27
Nutritional deficiencies,Singapore,0.02
Nutritional deficiencies,Thailand,1.17
Nutritional deficiencies,UK,0.58
Nutritional deficiencies,US,2.99
Nutritional deficiencies,Viet Nam,0.23
Malignant neoplasms,Australia,189.62
Malignant neoplasms,Canada,215.78
Malignant neoplasms,China,167.88
Malignant neoplasms,South Korea,167.46
Malignant neoplasms,France,267.91
Malignant neoplasms,Germany,287.35
Malignant neoplasms,India,61.56
Malignant neoplasms,Indonesia,82.84
Malignant neoplasms,Japan,312.87
Malignant neoplasms,Malaysia,78.53
Malignant neoplasms,Philippines,63.80
Malignant neoplasms,Singapore,150.02
Malignant neoplasms,Thailand,137.61
Malignant neoplasms,UK,255.65
Malignant neoplasms,US,194.83
Malignant neoplasms,Viet Nam,108.16
Other neoplasms,Australia,5.39
Other neoplasms,Canada,4.45
Other neoplasms,China,2.86
Other neoplasms,South Korea,1.28
Other neoplasms,France,11.76
Other neoplasms,Germany,9.81
Other neoplasms,India,1.08
Other neoplasms,Indonesia,1.08
Other neoplasms,Japan,9.89
Other neoplasms,Malaysia,2.83
Other neoplasms,Philippines,3.03
Other neoplasms,Singapore,2.15
