country,id,noncommunicable
Afghanistan,AFG,316
Albania,ALB,830
Algeria,DZA,355
Angola,AGO,215
Antigua and Barbuda,ATG,524
Argentina,ARG,580
Armenia,ARM,899
Australia,AUS,592
Austria,AUT,854
Azerbaijan,AZE,556
Bahamas,BHS,453
Bahrain,BHR,163
Bangladesh,BGD,351
Barbados,BRB,935
Belarus,BLR,1134
Belgium,BEL,836
Belize,BLZ,370
Benin,BEN,323
Bhutan,BTN,404
Bolivia (Plurinational State of),BOL,422
Bosnia and Herzegovina,BIH,1033
Botswana,BWA,320
Brazil,BRA,470
Brunei Darussalam,BRN,327
Bulgaria,BGR,1421
Burkina Faso,BFA,279
Burundi,BDI,290
Cambodia,KHM,380
Cameroon,CMR,353
Canada,CAN,623
Cape Verde,CPV,384
Central African Republic,CAF,339
Chad,TCD,328
Chile,CHL,519
China,CHN,656
Colombia,COL,434
Comoros,COM,306
Congo,COG,259
Costa Rica,CRI,423
Côte d'Ivoire,CIV,434
Croatia,HRV,1131
Cuba,CUB,718
Cyprus,CYP,643
Czechia,CZE,913
Democratic People's Republic of Korea,PRK,734
Democratic Republic of the Congo,COD,264
Denmark,DNK,812
Djibouti,DJI,350
Dominican Republic,DOM,446
Ecuador,ECU,371
Egypt,EGY,535
El Salvador,SLV,490
Equatorial Guinea,GNQ,340
Eritrea,ERI,312
Estonia,EST,1079
Ethiopia,ETH,269
Fiji,FJI,607
Finland,FIN,904
France,FRA,755
Gabon,GAB,311
Gambia,GMB,262
Georgia,GEO,1355
Germany,DEU,1025
Ghana,GHA,335
Greece,GRC,933
Grenada,GRD,589
Guatemala,GTM,286
Guinea,GIN,332
Guinea-Bissau,GNB,273
Guyana,GUY,573
Haiti,HTI,486
Honduras,HND,288
Hungary,HUN,1222
Iceland,ISL,607
India,IND,453
Indonesia,IDN,523
Iran (Islamic Republic of),IRN,379
Iraq,IRQ,279
Ireland,IRL,588
Israel,ISR,466
Italy,ITA,984
Jamaica,JAM,548
Japan,JPN,846
Jordan,JOR,302
Kazakhstan,KAZ,707
Kenya,KEN,159
Kiribati,KIR,446
Kuwait,KWT,197
Kyrgyzstan,KGZ,506
Lao People's Democratic Republic,LAO,417
Latvia,LVA,1295
Lebanon,LBN,578
Lesotho,LSO,439
Liberia,LBR,249
Libya,LBY,385
Lithuania,LTU,1262
Luxembourg,LUX,600
Madagascar,MDG,271
Malawi,MWI,215
Malaysia,MYS,364
Maldives,MDV,252
Mali,MLI,312
Malta,MLT,734
Mauritania,MRT,280
Mauritius,MUS,705
Mexico,MEX,409
Micronesia (Federated States of),FSM,458
Mongolia,MNG,492
Montenegro,MNE,985
Morocco,MAR,411
Mozambique,MOZ,240
Myanmar,MMR,551
Namibia,NAM,312
Nepal,NPL,418
Netherlands,NLD,786
New Zealand,NZL,588
Nicaragua,NIC,362
Niger,NER,260
Nigeria,NGA,332
Norway,NOR,678
Oman,OMN,182
Pakistan,PAK,420
Panama,PAN,377
Papua New Guinea,PNG,389
Paraguay,PRY,402
Peru,PER,376
Philippines,PHL,432
Poland,POL,926
Portugal,PRT,885
Qatar,QAT,106
Republic of Korea,KOR,442
Republic of Moldova,MDA,1038
Romania,ROU,1200
Russian Federation,RUS,1136
Rwanda,RWA,244
Saint Lucia,LCA,612
Saint Vincent and the Grenadines,VCT,659
Samoa,WSM,396
Sao Tome and Principe,STP,311
Saudi Arabia,SAU,257
Senegal,SEN,257
Serbia,SRB,1151
Seychelles,SYC,672
Sierra Leone,SLE,401
Singapore,SGP,372
Slovakia,SVK,837
Slovenia,SVN,850
Solomon Islands,SLB,319
Somalia,SOM,279
South Africa,ZAF,481
South Sudan,SSD,271
Spain,ESP,826
Sri Lanka,LKA,571
Sudan,SDN,372
Suriname,SUR,543
Swaziland,SWZ,355
Sweden,SWE,833
Switzerland,CHE,723
Syrian Arab Republic,SYR,368
Tajikistan,TJK,365
Thailand,THA,580
The former Yugoslav Republic of Macedonia,MKD,925
Timor-Leste,TLS,257
Togo,TGO,320
Tonga,TON,488
Trinidad and Tobago,TTO,716
Tunisia,TUN,543
Turkey,TUR,512
Turkmenistan,TKM,532
Uganda,UGA,235
Ukraine,UKR,1301
United Arab Emirates,ARE,125
United Kingdom,GBR,810
United Republic of Tanzania,TZA,242
United States of America,USA,768
Uruguay,URY,807
Uzbekistan,UZB,456
Vanuatu,VUT,361
Venezuela (Bolivarian Republic of),VEN,399
Viet Nam,VNM,448
Yemen,YEM,357
Zambia,ZMB,220
Zimbabwe,ZWE,265
