country,id,allCauses,"Communicable, maternal, perinatal and nutritional conditions",Noncommunicable diseases,Injuries
Afghanistan,AFG,716,261,316,140
Albania,ALB,891,26,830,36
Algeria,DZA,469,69,355,45
Angola,AGO,783,496,215,72
Antigua and Barbuda,ATG,641,76,524,40
Argentina,ARG,748,119,580,49
Armenia,ARM,964,27,899,37
Australia,AUS,661,30,592,39
Austria,AUT,926,24,854,48
Azerbaijan,AZE,643,57,556,30
Bahamas,BHS,613,104,453,57
Bahrain,BHR,196,14,163,20
Bangladesh,BGD,525,134,351,39
Barbados,BRB,1130,147,935,47
Belarus,BLR,1253,31,1134,87
Belgium,BEL,975,77,836,62
Belize,BLZ,549,107,370,72
Benin,BEN,905,490,323,92
Bhutan,BTN,590,123,404,62
Bolivia (Plurinational State of),BOL,654,146,422,86
Bosnia and Herzegovina,BIH,1093,20,1033,40
Botswana,BWA,700,322,320,58
Brazil,BRA,636,89,470,78
Brunei Darussalam,BRN,386,30,327,29
Bulgaria,BGR,1492,33,1421,38
Burkina Faso,BFA,855,482,279,94
Burundi,BDI,903,504,290,109
Cambodia,KHM,590,151,380,59
Cameroon,CMR,1002,540,353,109
Canada,CAN,706,39,623,43
Cape Verde,CPV,546,107,384,55
Central African Republic,CAF,1304,830,339,135
Chad,TCD,1202,762,328,112
Chile,CHL,612,50,519,44
China,CHN,735,28,656,51
Colombia,COL,580,59,434,87
Comoros,COM,733,347,306,80
Congo,COG,749,416,259,74
Costa Rica,CRI,507,33,423,52
Côte d'Ivoire,CIV,1168,612,434,121
Croatia,HRV,1223,28,1131,65
Cuba,CUB,858,72,718,68
Cyprus,CYP,706,29,643,33
Czechia,CZE,1015,54,913,48
Democratic People's Republic of Korea,PRK,878,83,734,61
Democratic Republic of the Congo,COD,941,580,264,97
Denmark,DNK,905,59,812,34
Djibouti,DJI,788,356,350,82
Dominican Republic,DOM,617,97,446,74
Ecuador,ECU,514,77,371,66
Egypt,EGY,636,65,535,37
El Salvador,SLV,664,72,490,102
Equatorial Guinea,GNQ,947,506,340,101
Eritrea,ERI,691,297,312,82
Estonia,EST,1163,33,1079,52
Ethiopia,ETH,684,335,269,80
Fiji,FJI,719,73,607,39
Finland,FIN,970,12,904,54
France,FRA,862,52,755,55
Gabon,GAB,758,379,311,69
Gambia,GMB,765,419,262,84
Georgia,GEO,1447,39,1355,53
Germany,DEU,1124,54,1025,45
Ghana,GHA,785,373,335,77
Greece,GRC,1083,118,933,31
Grenada,GRD,725,86,589,49
Guatemala,GTM,483,121,286,76
Guinea,GIN,946,527,332,87
Guinea-Bissau,GNB,909,564,273,72
Guyana,GUY,848,169,573,105
Haiti,HTI,850,257,486,107
Honduras,HND,433,61,288,85
Hungary,HUN,1303,23,1222,57
Iceland,ISL,676,30,607,39
India,IND,723,188,453,82
